"","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"X282ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X284ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X287ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X288ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X289ND",1,1,1,1,2,2,2,2,3,3,3,3,13,14
"X290ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X291ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X296ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X297ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X298ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X302ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X305ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X307ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X308ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X312ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X313ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X314ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X315ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X316ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X317ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X319ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X321ND",1,1,1,1,1,1,1,1,2,2,2,2,2,2
"X322ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X323ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X324ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X325ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X326ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X328ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X329ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X330ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X331ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X333ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X338ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X339ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X341ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X344ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X345ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X350ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X351ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X352ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X353ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X358ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X361ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X362ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X365ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X366ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X375ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X376ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X380ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X381ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X382ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X383ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X384ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X385ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X386ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X387ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X393ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X395ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X396ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X397ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X398ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X422ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X435ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X442ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X447ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X464ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X466ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X472ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X474ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X475ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X504ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X505ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
